,Compound,Negative,Neutral,Positive,Source,Tweet Date,Tweet Text,Tweets Ago
0,0.7065,0.0,0.0,0.175,@BBC,2018-10-08 04:49:17,"RT @BBC: 🎤🎶 The music. The performances. The Internet. The fans.

What is it that has made #KPop superstars @BTS_twt so successful? #BTS
👉…",1
1,0.7065,0.0,0.0,0.175,@BBC,2018-10-08 04:48:35,"RT @BBC: 🎤🎶 The music. The performances. The Internet. The fans.

What is it that has made #KPop superstars @BTS_twt so successful? #BTS
👉…",2
2,0.7065,0.0,0.0,0.175,@BBC,2018-10-08 04:48:32,"RT @BBC: 🎤🎶 The music. The performances. The Internet. The fans.

What is it that has made #KPop superstars @BTS_twt so successful? #BTS
👉…",3
3,0.7065,0.0,0.0,0.175,@BBC,2018-10-08 04:48:31,"RT @BBC: 🎤🎶 The music. The performances. The Internet. The fans.

What is it that has made #KPop superstars @BTS_twt so successful? #BTS
👉…",4
4,0.7065,0.0,0.0,0.175,@BBC,2018-10-08 04:48:28,"RT @BBC: 🎤🎶 The music. The performances. The Internet. The fans.

What is it that has made #KPop superstars @BTS_twt so successful? #BTS
👉…",5
5,0.7065,0.0,0.0,0.175,@BBC,2018-10-08 04:48:02,"RT @BBC: 🎤🎶 The music. The performances. The Internet. The fans.

What is it that has made #KPop superstars @BTS_twt so successful? #BTS
👉…",6
6,0.0,0.0,0.0,0.0,@BBC,2018-10-08 04:47:50,"RT @FutureVictm498A: #MenToo 
मेरा भी 2 बार सेक्सुअल हरासमेंट हुआ है एक बार खुद के घर में और दूसरे बार कहीं और उस समय मैं लगभग 13 वर्ष का…",7
7,0.7065,0.0,0.0,0.175,@BBC,2018-10-08 04:47:39,"RT @BBC: 🎤🎶 The music. The performances. The Internet. The fans.

What is it that has made #KPop superstars @BTS_twt so successful? #BTS
👉…",8
8,0.7065,0.0,0.0,0.175,@BBC,2018-10-08 04:47:38,"RT @BBC: 🎤🎶 The music. The performances. The Internet. The fans.

What is it that has made #KPop superstars @BTS_twt so successful? #BTS
👉…",9
9,0.0,0.0,0.0,0.0,@BBC,2018-10-08 04:47:34,RT @eseletwits: @BBC https://t.co/KmF8j4ogkX,10
10,0.7065,0.0,0.0,0.175,@BBC,2018-10-08 04:47:19,"RT @BBC: 🎤🎶 The music. The performances. The Internet. The fans.

What is it that has made #KPop superstars @BTS_twt so successful? #BTS
👉…",11
11,0.7065,0.0,0.0,0.175,@BBC,2018-10-08 04:47:03,"RT @BBC: 🎤🎶 The music. The performances. The Internet. The fans.

What is it that has made #KPop superstars @BTS_twt so successful? #BTS
👉…",12
12,0.7065,0.0,0.0,0.175,@BBC,2018-10-08 04:47:02,"RT @BBC: 🎤🎶 The music. The performances. The Internet. The fans.

What is it that has made #KPop superstars @BTS_twt so successful? #BTS
👉…",13
13,-0.1531,0.114,0.114,0.093,@BBC,2018-10-08 04:46:55,"RT @hunkyhuncho: #Cameroon as we knw, is a union btwn 2 equal states  which has failed and one party wants out of the Union leading 2 the c…",14
14,0.34,0.0,0.0,0.103,@BBC,2018-10-08 04:46:54,RT @ChrisMcCusker67: I have to question the motive behind @BBC for engaging the services of @RuthDavidsonMSP to offer her opinion on the co…,15
15,0.7065,0.0,0.0,0.175,@BBC,2018-10-08 04:46:54,"RT @BBC: 🎤🎶 The music. The performances. The Internet. The fans.

What is it that has made #KPop superstars @BTS_twt so successful? #BTS
👉…",16
16,0.7065,0.0,0.0,0.175,@BBC,2018-10-08 04:46:48,"RT @BBC: 🎤🎶 The music. The performances. The Internet. The fans.

What is it that has made #KPop superstars @BTS_twt so successful? #BTS
👉…",17
17,0.7065,0.0,0.0,0.175,@BBC,2018-10-08 04:46:41,"RT @BBC: 🎤🎶 The music. The performances. The Internet. The fans.

What is it that has made #KPop superstars @BTS_twt so successful? #BTS
👉…",18
18,0.7065,0.0,0.0,0.175,@BBC,2018-10-08 04:46:35,"RT @BBC: 🎤🎶 The music. The performances. The Internet. The fans.

What is it that has made #KPop superstars @BTS_twt so successful? #BTS
👉…",19
